val_acc Methods
0.7407407407407407 SVM
0.8024691358024691 SVM
0.8148148148148148 SVM
0.7654320987654321 SVM
0.8024691358024691 SVM
0.7777777777777778 SVM
0.7901234567901234 SVM
0.8148148148148148 SVM
0.8024691358024691 SVM
0.7407407407407407 SVM
0.7530864197530864 SVM
0.7777777777777778 SVM
0.7654320987654321 SVM
0.7530864197530864 SVM
0.8024691358024691 SVM
0.8641975308641975 SVM
0.7901234567901234 SVM
0.7901234567901234 SVM
0.7901234567901234 SVM
0.8024691358024691 SVM
0.7777777777777778 SVM
0.7901234567901234 SVM
0.7407407407407407 SVM
0.8271604938271605 SVM
0.7777777777777778 SVM
0.8024691358024691 SVM
0.7654320987654321 SVM
0.7777777777777778 SVM
0.7283950617283951 SVM
0.8148148148148148 SVM
0.7777777777777778 SVM
0.7901234567901234 SVM
0.8148148148148148 SVM
0.8271604938271605 SVM
0.8024691358024691 SVM
0.8024691358024691 SVM
0.7654320987654321 SVM
0.8024691358024691 SVM
0.7530864197530864 SVM
0.7283950617283951 SVM
0.8765432098765432 SVM
0.7407407407407407 SVM
0.7530864197530864 SVM
0.8024691358024691 SVM
0.8518518518518519 SVM
0.7777777777777778 SVM
0.8148148148148148 SVM
0.8271604938271605 SVM
0.7777777777777778 SVM
0.8271604938271605 SVM
0.7160493827160493 SVM
0.7530864197530864 SVM
0.7654320987654321 SVM
0.8148148148148148 SVM
0.8148148148148148 SVM
0.8271604938271605 SVM
0.8641975308641975 SVM
0.7777777777777778 SVM
0.8395061728395061 SVM
0.8271604938271605 SVM
0.8148148148148148 SVM
0.8271604938271605 SVM
0.7654320987654321 SVM
0.8148148148148148 SVM
0.7901234567901234 SVM
0.8148148148148148 SVM
0.8024691358024691 SVM
0.7654320987654321 SVM
0.7654320987654321 SVM
0.7160493827160493 SVM
0.7901234567901234 SVM
0.7777777777777778 SVM
0.8395061728395061 SVM
0.7777777777777778 SVM
0.8395061728395061 SVM
0.8148148148148148 SVM
0.8024691358024691 SVM
0.8395061728395061 SVM
0.7777777777777778 SVM
0.7901234567901234 SVM
0.7530864197530864 SVM
0.8148148148148148 SVM
0.8395061728395061 SVM
0.8024691358024691 SVM
0.7407407407407407 SVM
0.8148148148148148 SVM
0.8024691358024691 SVM
0.7901234567901234 SVM
0.8148148148148148 SVM
0.8271604938271605 SVM
0.8024691358024691 SVM
0.7654320987654321 SVM
0.8271604938271605 SVM
0.7407407407407407 SVM
0.8271604938271605 SVM
0.7654320987654321 SVM
0.8024691358024691 SVM
0.8024691358024691 SVM
0.8148148148148148 SVM
0.8395061728395061 SVM
0.7777777777777778 SVM
0.8271604938271605 SVM
0.7654320987654321 SVM
0.7654320987654321 SVM
0.7901234567901234 SVM
