region vector_x0 vector_x1 level color_level4
SubG -3.197382 -1.8142039 8 TH
LRN 4.297347 17.315596 7 HB
PH -4.296228 1.5658535 7 HY
SUT 5.429948 7.8110495 7 HB
XII 5.502092 19.440073 7 HB
PBG 0.71686697 -2.751903 6 MB
ProS 9.039908 -0.8255589 8 CTX
SF -9.7771225 -0.41626424 7 CNU
IA -11.661351 2.4566402 7 CNU
SLD 4.7984896 10.273415 7 HB
BLA -5.251671 -4.1726923 6 CTX
ECU 6.2436314 17.16401 7 HB
LPO -9.895815 2.5405176 7 HY
LIN 5.414096 17.98432 7 HB
CA2 4.929613 -1.8594769 9 CTX
AMB 5.0030212 18.507322 7 HB
SUB 9.686559 -0.9454359 8 CTX
PST 2.4217353 7.2346506 7 HY
AV 9.998097 -0.19906649 8 TH
RPO 5.748603 12.295879 7 HB
I5 5.1477494 16.158348 7 HB
V 4.806061 15.869327 7 HB
SLC 4.7919426 11.338546 7 HB
CUN 6.128305 -1.7135245 6 MB
PAR -4.823102 -3.6159084 8 CTX
RO 3.623458 16.341482 7 HB
LSr -8.919087 0.47444052 8 CNU
III 6.827976 -1.4300238 6 MB
DT 5.730937 -0.70293325 6 MB
