loss,val_acc
0.232438211,0.9876543
0.511235494,0.962963
0.285185662,0.9876543
0.249441095,0.97530866
0.203947413,0.9876543
0.201788997,0.962963
0.314429062,0.9506173
0.17237856,0.9876543
0.442032335,0.962963
0.387474647,0.962963
0.288021252,0.97530866
0.264427845,0.962963
0.191839747,0.97530866
0.222687606,0.9876543
0.282046753,0.97530866
0.311209962,0.962963
0.218576501,0.9876543
0.476015255,0.9506173
0.147450255,0.9876543
0.369229239,0.962963
0.223502605,0.97530866
0.252102581,0.962963
0.431817488,0.9506173
0.237303015,0.962963
0.616013694,0.9382716
0.183902577,0.9876543
0.513226252,0.9506173
0.30129179,0.962963
0.183558806,0.97530866
0.331851594,0.9506173
